,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Atar,MR,87.8,overcast clouds,20.5169,-13.0499,Oumou Elghoura
3,Lorengau,PG,86.47,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
7,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
14,Butaritari,KI,81.95,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
17,Ribeira Grande,PT,72.59,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
18,Kon Tum,VN,72.05,overcast clouds,14.35,108.0,Hoa đà spa- homestay
20,Hami,CN,78.94,clear sky,42.8,93.45,Laoyutang Resort
22,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Rikitea,PF,70.14,overcast clouds,-23.1203,-134.9692,People ThankYou
27,Eyl,SO,76.66,overcast clouds,7.9803,49.8164,Amiin Hotel
28,Kavieng,PG,85.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Hasaki,JP,81.28,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
32,Kolokani,ML,76.73,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
37,Richards Bay,ZA,72.59,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
41,Lianzhou,CN,86.9,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
44,Itarema,BR,78.12,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
45,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
47,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
49,Hambantota,LK,83.32,overcast clouds,6.1241,81.1185,Bungalow 63
50,Georgetown,MY,83.89,scattered clouds,5.4112,100.3354,Cititel Penang
51,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
55,Mogadishu,SO,77.2,few clouds,2.0371,45.3438,Hotel Juba
57,Salalah,OM,78.26,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Prescott,US,71.28,scattered clouds,34.54,-112.4685,Prescott Resort & Conference Center
65,Sao Gabriel Da Cachoeira,BR,73.72,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
66,Coahuayana,MX,77.92,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
67,Cuencame,MX,71.29,few clouds,24.8711,-103.6964,HOTEL RICOME
72,Biak,ID,83.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
78,Portel,BR,77.2,clear sky,-1.9356,-50.8211,Kitnet do Marcos
82,Atambua,ID,87.51,broken clouds,-9.1061,124.8925,Ros Muskanan
85,Bengkulu,ID,80.31,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
88,Ngawen,ID,86.43,overcast clouds,-7.0032,111.3129,Bu Sarpi serabi
90,Gladstone,AU,84.78,clear sky,-23.85,151.25,Highpoint International Hotel
91,Cockburn Town,TC,82.51,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
92,Riohacha,CO,76.32,overcast clouds,11.5444,-72.9072,Hotel Taroa
93,Ca Mau,VN,88.18,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
98,Vanimo,PG,85.48,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
106,Hattiesburg,US,71.53,mist,31.3271,-89.2903,Quality Inn & Suites
109,Bonthe,SL,74.17,light rain,7.5264,-12.505,Bonthe Holiday Village
111,Honiara,SB,83.35,overcast clouds,-9.4333,159.95,Heritage Park Hotel
112,Cabo San Lucas,MX,84.18,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
115,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
119,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
120,Meulaboh,ID,78.22,overcast clouds,4.1363,96.1285,Kost Pria
122,Les Cayes,HT,80.17,overcast clouds,18.2,-73.75,Villa Orphee
124,Belmonte,BR,71.89,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
129,Mazatlan,MX,85.01,scattered clouds,23.2167,-106.4167,Hotel La Siesta
130,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
132,Emerald,AU,82.35,clear sky,-23.5333,148.1667,The Irish Village
138,Alta Floresta,BR,77.49,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
140,Broken Hill,AU,77.36,broken clouds,-31.95,141.4333,Royal Exchange Hotel
141,Guerrero Negro,MX,74.16,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
142,Buchanan,LR,74.07,heavy intensity rain,5.8808,-10.0467,Kamaneahn Hotel Inc
144,Rodrigues Alves,BR,74.07,overcast clouds,-7.738,-72.6509,Pousada Aconchego
145,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
147,Atuona,PF,76.86,scattered clouds,-9.8,-139.0333,Villa Enata
149,Mongo,TD,78.22,broken clouds,12.1844,18.693,Résidences du Programme FIDA
152,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
160,Bogande,BF,76.08,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
165,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Kerrville,US,80.55,scattered clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
169,Katsuura,JP,78.82,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
170,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
173,Karratha,AU,88.47,clear sky,-20.7377,116.8463,ibis Styles Karratha
174,Nishihara,JP,85.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
179,Charters Towers,AU,89.49,few clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
183,Kavaratti,IN,82.26,broken clouds,10.5669,72.642,Green leaf
185,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
188,Dingle,PH,85.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
