City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Severo-Kurilsk,RU,2022-09-25 03:13:20,50.6789,156.125,51.82,97,100,19.13,light rain
1,Chegutu,ZW,2022-09-25 03:13:21,-18.1302,30.1407,64.56,53,2,6.96,clear sky
2,Atar,MR,2022-09-25 03:13:21,20.5169,-13.0499,87.8,49,99,6.02,overcast clouds
3,Lorengau,PG,2022-09-25 03:13:22,-2.0226,147.2712,86.47,64,29,11.61,moderate rain
4,Bazarnyye Mataki,RU,2022-09-25 03:13:22,54.8833,49.9333,50.2,76,100,1.86,overcast clouds
5,Hobart,AU,2022-09-25 03:13:23,-42.8794,147.3294,61.27,60,75,9.22,broken clouds
6,Yakeshi,CN,2022-09-25 03:13:23,49.2833,120.7333,58.37,36,37,14.63,scattered clouds
7,Kapaa,US,2022-09-25 03:13:24,22.0752,-159.319,84.18,71,0,8.05,clear sky
8,Bathsheba,BB,2022-09-25 03:13:24,13.2167,-59.5167,81.21,89,40,12.66,scattered clouds
9,Mataura,NZ,2022-09-25 03:13:25,-46.1927,168.8643,61.5,58,100,5.12,overcast clouds
10,Talnakh,RU,2022-09-25 03:13:25,69.4865,88.3972,28.98,77,95,3.06,overcast clouds
11,Busselton,AU,2022-09-25 03:13:25,-33.65,115.3333,59.72,61,48,8.93,scattered clouds
12,Punta Arenas,CL,2022-09-25 03:09:23,-53.15,-70.9167,37.51,65,100,11.5,overcast clouds
13,Constitucion,CL,2022-09-25 03:13:26,-35.3333,-72.4167,50.65,88,90,2.84,overcast clouds
14,Butaritari,KI,2022-09-25 03:13:27,3.0707,172.7902,81.95,67,28,9.17,scattered clouds
15,Nikolskoye,RU,2022-09-25 03:13:27,59.7035,30.7861,45.79,89,100,9.15,light rain
16,Bredasdorp,ZA,2022-09-25 03:13:27,-34.5322,20.0403,53.24,96,100,2.59,overcast clouds
17,Ribeira Grande,PT,2022-09-25 03:13:28,38.5167,-28.7,72.59,78,92,23.04,overcast clouds
18,Kon Tum,VN,2022-09-25 03:13:28,14.35,108.0,72.05,97,100,1.52,overcast clouds
19,Ngunguru,NZ,2022-09-25 03:13:29,-35.6167,174.5,60.22,76,4,10.76,clear sky
20,Hami,CN,2022-09-25 03:13:29,42.8,93.45,78.94,10,0,9.33,clear sky
21,Tuktoyaktuk,CA,2022-09-25 03:13:30,69.4541,-133.0374,32.0,80,100,12.66,overcast clouds
22,Vaini,TO,2022-09-25 03:13:30,-21.2,-175.2,77.16,88,75,8.05,broken clouds
23,Maarianhamina,AX,2022-09-25 03:13:31,60.0973,19.9348,48.06,100,100,1.14,fog
24,Necochea,AR,2022-09-25 03:13:31,-38.5473,-58.7368,49.64,88,91,5.48,overcast clouds
25,Maldonado,UY,2022-09-25 03:13:31,-34.6667,-54.9167,53.22,79,100,6.33,overcast clouds
26,Rikitea,PF,2022-09-25 03:13:32,-23.1203,-134.9692,70.14,67,87,16.84,overcast clouds
27,Eyl,SO,2022-09-25 03:13:32,7.9803,49.8164,76.66,79,91,13.91,overcast clouds
28,Kavieng,PG,2022-09-25 03:13:33,-2.5744,150.7967,85.19,64,85,14.23,overcast clouds
29,La Rioja,ES,2022-09-25 03:13:33,42.25,-2.5,40.78,92,3,4.09,clear sky
